Fecha,ID Transacción,Producto,Unidades Vendidas,Ingresos,Coste,Método de Pago,Ciudad
2025-10-01,T001,Licencia Básico,1,150,00€,10,50€,Tarjeta,Madrid
2025-10-01,T002,Servicio Premium,3,45,00€,15,00€,Efectivo,Barcelona
2025-10-01,T003,Licencia Básico,2,300,00€,21,00€,Transferencia,Valencia
2025-10-02,T004,Servicio Premium,1,15,00€,5,00€,Tarjeta,Madrid
2025-10-02,T005,Licencia Avanzada,5,800,00€,120,00€,Efectivo,Sevilla
2025-10-02,T006,Servicio Premium,1,15,00€,5,00€,Tarjeta,Barcelona
2025-10-03,T007,Licencia Básico,4,600,00€,42,00€,Transferencia,Madrid
2025-10-03,T008,Licencia Avanzada,2,320,00€,48,00€,Tarjeta,Valencia
2025-10-03,T009,Servicio Premium,1,15,00€,5,00€,Efectivo,Sevilla
2025-10-04,T010,Licencia Básico,1,150,00€,10,50€,Tarjeta,Madrid
2025-10-04,T011,Servicio Premium,5,75,00€,25,00€,Transferencia,Barcelona
2025-10-04,T012,Licencia Avanzada,1,160,00€,24,00€,Efectivo,Valencia
2025-10-05,T013,Servicio Premium,1,15,00€,5,00€,Tarjeta,Madrid
2025-10-05,T014,Licencia Básico,3,450,00€,31,50€,Efectivo,Sevilla
2025-10-06,T015,Servicio Premium,2,30,00€,10,00€,Transferencia,Barcelona
2025-10-06,T016,Licencia Avanzada,1,160,00€,24,00€,Tarjeta,Madrid
2025-10-07,T017,Licencia Básico,1,150,00€,10,50€,Transferencia,Valencia
2025-10-07,T018,Servicio Premium,1,15,00€,5,00€,Efectivo,Sevilla
2025-10-07,T019,Licencia Básico,1,150,00€,10,50€,Tarjeta,Madrid
2025-10-08,T020,EVENTO ANOMALÍA,1,9800,00€,100,00€,Transferencia,Barcelona
2025-10-08,T021,Licencia Avanzada,2,320,00€,48,00€,Tarjeta,Valencia
